"Sub-module Pipeline","Message Type","Topic"
"3D Lidar","sensor_msgs/msg/PointCloud2","/sensors/lidar/points_processed"
"2D Lidar","sensor_msgs/msg/LaserScan","/sensors/lidar/scans_processed"
"Camera (All EM ranges)","sensor_msgs/msg/Image","/sensors/camera_N/image_processed"
"IMU","sensor_msgs/msg/Imu","/sensors/imu/imu_processed"
"GNSS","geometry_msgs/msg/PoseWithCovarianceStamped","/sensors/gnss/pose_processed"
"Radar","radar_msgs/msg/RadarTrack","/sensors/radar/tracks_processed"
"Ultrasonic","autoware_auto_msgs/msg/Ultrasonics","/sensors/ultrasonic/ranges_processed"
"Wheel Encoder","autoware_auto_msgs/msg/WheelEncoder","/sensors/wheel_encoder_N/encoders_processed"
